name,author,category,description
Разблокирование мира чтения,Паскуале де Марко,Образование,"В мире, где экраны и графики часто доминируют в нашей жизни, «разблокируя мир чтения», манит вас заново открыть вечную радость книг.Это всеобъемлющее руководство - ваш ключ к миру, где чтение - это больше, чем просто времяпрепровождение - это источник безграничного воображения, связи и обучения на протяжении всей жизни.** Приключение на каждой странице ** Шаг в очаровательную сферу чтения, где на каждой странице ожидается приключения.От ощущений от открытия книги до развития привычки чтения на протяжении всей жизни, эта книга является вашим личным компаньоном в пути к тому, чтобы стать преданным читателем.Погрузитесь в магию историй, которые доставляют вас в места, которые вы никогда не представляли.** Создание вашего литературного пространства ** Ваше путешествие по чтению не ограничивается историями внутри;Это начинается с среды, которую вы создаете.«Разблокируя мир чтения» направляет вас через создание собственного литературного убежища, уютного уголка, где отмечается магия книг.Узнайте, как взаимодействие естественного света и приглашенные книжные дисплеи создают основу для выходов для чтения.** Воспитание воображения ** Книги - больше, чем слова;Это шлюзы в безграничную сферу воображения.Эта книга исследует, как истории расширяют ваш разум, способствуя творчеству и превращая повседневные моменты в необычные приключения.Независимо от вашего возраста, вы узнаете, как чтение воспитывает силу воображения.** Путешествие грамотности ** Когда ваше путешествие по чтению разворачивается, вы переходите от обучения к чтению к свободно и проницательному читателю.Мы ориентируемся по морям фонетики, словарного запаса и понимания прочитанного, предоставив вам навыки, чтобы с уверенностью плавать по литературному миру.** От классики до современной ** «разблокировка мира чтения» открывает двери для классических рассказов, которые выдержали испытание временем и современных чудес, которые отражают наш мир сегодня.Откройте для себя очаровательные уроки вечных историй и современные идеи современной литературы.В этом руководстве вы обнаружите глубокую связь между письменным словом и вашей жизнью.Исследуйте искусство письма как форму самовыражения, примите радость чтения с семьей и посмотрите, как литература вплетается в ваше повседневное существование.Независимо от того, начинаете ли вы свое путешествие по чтению или были любителем книг годами, «разблокируя мир чтения», приглашает вас открыть дверь в мир возможностей, по одной странице за раз.Если вам нравится эта книга, напишите обзор!"
История английской литературы,Роберт Хантингтон Флетчер,История,"Digicat Publishing представляет вам это специальное издание «История английской литературы» Роберта Хантингтона Флетчера.Digicat Publishing считает, что каждое письменное слово является наследием человечества.Каждая книга Digicat была тщательно воспроизведена для переиздания в новом современном формате.Книги доступны в печати, а также в электронных книгах.Digicat надеется, что вы будете относиться к этой работе с признанием и страстью, которую она заслуживает как классику мировой литературы."
"Джеймс Фенимор Купер: 30 романов в одном томе - Западная классика, приключенческие романы и морские сказки",Джеймс Фенимор Купер,Вымысел,"Коллекция Джеймса Фенимора Купера из 30 романов в одном томе, включая западную классику, приключенческие романы и морские сказки, предлагает читателям всестороннее понимание тонкостей американской литературы в 19 -м веке.Благодаря уникальной сочетание исторической точности и творческой художественной литературы, литературный стиль Купера отражает сущность ранней американской жизни, исследуя темы расовых отношений, столкновения цивилизаций и борьбу за выживание в пустыне.Яркие описания и интенсивные последовательности действий делают эту коллекцию захватывающим чтением для тех, кто заинтересован в американской границе и морских приключениях эпохи.Способность Купера переплетать исторические события с вымышленными повествованиями демонстрирует его мастерство в рассказывании историй и его острое чувство драмы.Джеймс Фенимор Купер, известный американский писатель начала 19 -го века, черпал вдохновение для своих работ из своего собственного опыта, выросшего в дикой границе ранней Америки.Его воспитание и наблюдения за изменением ландшафта страны повлияли на его стиль письма и тематические выборы, что сделало его ведущей фигурой в американской литературе.Глубокая связь Купера с миром природы и его интерес к изучению сложностей человеческих отношений очевидны в его обширной работе, что делает его значительным участником литературного канона своего времени.Я очень рекомендую 30 романов Джеймса Фенимора Купера в одном томе читателям, которые ценят классическую американскую литературу, историческую фантастику и приключенческие рассказы.В этой коллекции представлен всеобъемлющий обзор литературного вклада Купера и предлагает очаровательное путешествие по безумной дикой природе ранней Америки и в открытом море."
Классический возраст,Р.К.Прути,Индия,"Содержание: Введение, Империи древней Индии, Вакатаки, Постмавьянская Индия, политический порядок и идеи, социальная и политическая мысль и институты, Кулявапа, Дронавапа и Адхавапа, Южная Индия, Эпоха Имперского Канауджа, Мудраракшаса, веб-дипломатия, Валмики, Вайса и Калидаса, Р.С.Датт перевод эпосов, классическая литература, заключение."
Великие книги,Энтони О'Хир,Литературная критика,"«Освещающий, научный, хорошо написанный и развлекательный обзор гигантов мировой литературы. Занятые люди, и особенно молодые, будут благодарны за это полезное и краткое представление».-Пол Джонсон не просто грандиозное справочное дело, Великие книги-это очаровательное путешествие через два с половиной тысячелетия Великой Западной традиции.Выдающийся британский философ Энтони О'Хир-наш способный гид, который проводит читателей в волнующем туре в течение 2500 лет книг, таких как мощный, захватывающий, эротичный, политически проницательный и внушающий страх, как любой современный бестселлер.Великие книги - это увлекательное повествование, которое охватывает историю, миф, искусство, музыку, театр и многое другое.О'Хир подметает нас от Илиады Гомера до Фауста Гете, покрывая много мест между ними.В стихах Гомера об эпической борьбе мы обнаруживаем не только увлечение и удовольствие, которое мы можем получить, но и почему эти работы стали фонтаном западной литературы.От греческой трагедии мы чувствуем силу древних мифов, в то время как после смерти Платона Сократа мы видим, что, возможно, убило трагический дух.В Анеиде Вирджила мы размышляем о тесных связях и озадачивающих контрастов с - гомером;В ужасной и возвышенной божественной комедии Данте мы снова встретим Вирджила, на этот раз в качестве наставника и проводятся через ад;И в «Призрачном раю Милтона», потерянного в потерянном виде, мы находим христианскую историю, учитывая эпическую форму и силу.И, конечно, в Шекспире мы испытываем особый и несравненный гений великого драматурга.Существует гораздо больше - от Овидии и Августина до Чосера и Сервантеса, Паскаля и Расина.Великие книги - это энергичный и поучительный путеводитель по великим работам западной традиции, пропущенный любовью к литературе и глубоко принудительной веры автора в его силу обогатить и оживить мир всех."
Кино и классические тексты,Мартин М. Винклер,Вымысел,Эта книга интерпретирует фильмы как визуальные тексты и демонстрирует сходство между греко-римской литературой и кино.
Манга классика: гордость и предрассудки,"Джейн Остин, Стейси Кинг",Комиксы и графические романы,"Возлюбленная миллионами во всем мире, гордость и предрассудки восхитительно трансформированы в этой смелой новой адаптации манга.В отдаленной английской деревне мистер и миссис Беннет, не так давно добраться до Country Squire и его жены, должны жениться на своих пятью живыми дочерьми.В самом центре этого всепоглощающего предприятия находятся главная вторая дочь, Элизабет и ее аристократический поклонник Мистер Дарси, два любовника, в которых гордость и предрассудки должны быть преодолены, прежде чем любовь сможет довести историю к его великолепному выводу."
Жанр и экстравагантность в романе,Джед Расула,Литературная критика,"Изучает форму романа, топозной определенной и на протяжении всей своей истории, исследуя взаимодействие соответствия и экспериментов в классических и выбросах жанра, с акцентом на Джозефа Конрада, Генри Джеймса и Вирджинии Вулф."
Манга Классика: истории Эдгара Аллана По,"Эдгар Аллан По, Стейси Кинг",Комиксы и графические романы,"Истории Эдгара Аллана По-это блестящая коллекция некоторых из его самых известных историй: «Сердце рассказы» (преследующая вина убийства), бочка Амонтильядо (история блестящей мести) и падение Пашера Ашера (древний дом, полный очень мрачных секретов).В эту коллекцию также включены маска красной смерти (ужасы «чумы») и самые известные из всех его стихов: Ворон (спад любовника в безумие).Лучше всего читать в тускло-освещенной комнате с занавестными шторами, блестящие работы По оживают мрачно захватывающими способами в этой классической адаптации манги."
Сила публикации в раннем современном тибетском буддизме,Бенджамин Дж. Нурс,Социальная наука,"Сила публикации в раннем современном тибетском буддизме исследует историческую и религиозную динамику, которая привела к «золотому веку» тибетской печати в конце семнадцатого и восемнадцатого веков, когда издательство тибетского дерева достигла своего зенита.Отслеживая публикацию и циркуляцию тибетских книг в ранней современной Азии, от Пятого Далай-Ламы Потало-дворец в Лхасе, через космополитическое пеки и в монашеские колледжи на китайско-тибетских пограничных районах, эта книга демонстрирует, как издательство дерева помогла сформировать религиозные и политические ландшафты Tibets, и фантазии, и фантазии, и фантазии.В этом томе, переплетенный с этим более широким историческим повествованием, исследует смысл и цель книг в ранних современных тибетских буддийских культурах, особенно роли буддийских идей Махайны как движущей силы как роста издательской издательской, так и использования тибетских буддистских книг для различных видов деятельности, в том числе стипендий, обмена, обмена, и широкого спектра чтения."
Cambridge International As ровная английская общая бумажная книга,Джилл Павич,Несовершеннолетняя научная литература,"Единственные одобренные ресурсы для Кембриджской международной программы по английскому языку (8021).Благодаря изучению широкого спектра тем, от культуры знаменитостей до поэзии в современном мире, эта книга посвящена укреплению общения, оценки, анализу, применению и пониманию навыков.Помогая учащимся улучшить свои письменные ответы, использование английского языка и понимание, в этой учебной книге рассматриваются точки обсуждения, относящиеся к глобально ориентированному классу.Благодаря частым практическим вопросам и образцам ответов, студенты имеют много возможностей для укрепления своей уверенности, отвечая на вопросы.Ответы на вопросы курса в ресурсе учителя."
Чтение жизни подростков,Чин Ээ Лох,Образование,"В эти изменяющиеся времена глобальных потоков медиа и технологий и отчетов о снижении удовольствия от чтения, исследователи, политики и преподаватели должны заново участвовать в важных вопросах того, что считается чтением, какими видами чтения имеют значение и как поддержать вовлеченность в чтение подростков в школе и вне школы.Объединяя вклады известных и начинающих исследователей подростковой грамотности с разных дисциплинарных точек зрения, эта отредактированная коллекция консолидирует современные исследования волевых печатных и цифровых чтений подростков, будь то в школе или вне школы.Первая часть книги предлагает обзоры того, что читают подростки, за которыми следуют главы по поддержке сообщества по чтению и новым способам исследования чтения подростков.С главами из Северной Америки, Европы, Австралии, Азии и Ближнего Востока, коллекция предложит многогранную и сложную информацию о том, как и почему подростки читаются в разных контекстах.Вопросы размышлений в конце каждой главы побуждают читателей рассмотреть, как исследование может быть применено в их собственных исследованиях, политике и практике.Эта книга будет интересна для исследователей, политиков и преподавателей, которые инвестируются в поддержку чтения, связанного с подростком, с помощью политики и стратегий, основанных на доказательствах."
Более поздняя поэзия Джеймса Джойса - Delphi Classics (иллюстрирована),Джеймс Джойс,Вымысел,"Эта электронная книга показывает неизбежный текст «более поздней поэзии» из бестселлера «Полные произведения Джеймса Джойса».Установив свое имя в качестве ведущего издателя классической литературы и искусства, Delphi Classics производит публикации, которые индивидуально созданы с превосходным форматированием, в то же время впервые представляя множество редких текстов в цифровой печати.В издании Delphi Classics Joyce есть оригинальные аннотации и иллюстрации, касающиеся жизни и произведений автора, а также отдельные таблицы содержимого, что позволяет вам быстро и легко ориентироваться в электронных книгах.Функции электронных книг: * Полный неисправный текст «более поздней поэзии» * прекрасно проиллюстрирован с изображениями, связанными с работами Джойса * Индивидуальное содержимое таблицы, что позволяет легко навигации по электронной книге * Отличное форматирование текстового процесса."
Литературная критика от Платона до постмодернизма,Джеймс Ситон,История,"Эта книга предлагает историю литературной критики от Платона до настоящего, утверждая, что эта история лучше всего можно рассматривать как диалог между тремя традициями - платоническим, неоплатоническим и гуманистическим, созданным Аристотелем.Есть много историй литературной критики, но это первое, кто уточняет наше понимание многих, казалось бы, несоизмеримых подходов, используемых на протяжении веков, ссылаясь на три традиции.Основываясь на тщательном анализе отдельных критиков, книга выступает за актуальность гуманистической традиции в двадцать первом веке и за его пределами."
Переосмысление японских исследований,"Каори Окано, Йошио Сугимото",История,"Японские исследования предоставили плодородное пространство для невроцентрического анализа по ряду причин.Он был втянут в длительные внутренние дебаты по поводу так называемого Nihonjinron, вращающегося вокруг степени, в которой эффективная интерпретация японского общества и культуры требует незападных, японских эмик-концепций и теорий.Эта книга делает этот вопрос дальше и исследует, как мы можем понять японское общество и культуру, объединяя евро-американские концепции и теории с теми, которые происходят в Японии.Поскольку Япония является единственной либеральной демократией, которая достигла высокого уровня капитализма за пределами западной культурной рамки, японские исследования уже давно предоставили форум для обсуждений, в которой западная концепция современности применима.Кроме того, из -за военного, экономического и культурного доминирования в Японии в Азии в разных точках прошлого века японские исследования должны были иметь дело с проблемами японского японского языка, а также евроцентризма, двойственности, требующей сложного и тонкого анализа.Эта книга определяет различия между японскими исследованиями академических сообществ в Азиатско-Тихоокеанском регионе и исследует степень, в которой в регионе существуют относительно автономную стипендию, интеллектуальный подход или теории.Он также оценивает, как исследования в области Японии в регионе способствуют глобальным японским исследованиям и исследуют их потенциал для формулирования конкретных стратегий для раскрытия евроцентрического доминирования дисциплины."
Дзен классика,"Стивен Хейн, Дейл С. Райт",Религия,"Это том компаньона для Коана и Дзен -Канона, теми же редакторами.В первом томе были собраны оригинальные очерки о коллекциях Коан, записали высказывания отдельных мастеров, истории крупных школ и сборники монашеских правил.Второй посвящен ранней истории дзен в Китае, предоставляя обзорные оценки многих наиболее важных канонических текстов, которые приводят к движению традиции дзен по всей Восточной Азии.Zen Classics будет следовать этому историческому движению, сосредоточившись главным образом на текстах из Кореи и Японии, которые вызвали его буддийское движение.Хотя чрезвычайно разнообразные по стилю и структуре, все тексты и жанры текстов, рассматриваемые здесь, были фундаментальны для разворачивания дзен в Восточной Азии.Диапазон жанров показывает разновидности практики дзен, от правил повседневной практики до проповедей и руководств по медитации.Все новые эссе в этом томе будут предоставлены международной командой выдающихся ученых буддизма.Он предназначен для широкой аудитории, включая студентов колледжа, практикующих дзен и ученых истории, религии и культуры Восточной Азии, а также специалистов в области буддийской истории."
Понимание ниндзя для 10-11 лет: художественная литература и поэзия,"Эндрю Дженнингс, Адам Бушнелл",Образование,"«Абсолютно фантастика, с отличным выбором экстрактов и тщательно продуманными вопросами» Джеймс Грокотт, заместитель директора директора @deputygrocott, захватывающий ресурс по пониманию прочитанного от Эндрю Дженнингса (@vocabularyninja), создатель чрезвычайно популярного писания, как нинджа, Vocabulary Ninja и понимание Ninja: Ninja Ninja: Ninja Ninja: Ninja.Этот фотокопируемый ресурс содержит 24 иммерсивных и творческих художественных и поэтических текстов от известных писателей, таких как Дэвид Алмонд, Роальд Дахл, Кэтрин Ранделл и Джозеф Коэльхо, плюс оригинальные тексты Адама Бушнелла и Эндрю Дженнингса, согласованных с национальной учебной программой.Каждый сопровождается дифференцированной деятельностью и ответами на повышение навыков поиска и помогает ученикам стать полностью пробежными ниндзя!Идеально подходит для практики KS2 SATS, тексты чтения высококачественные и богатые словарным запасом.Они охватывают широкий спектр жанров, включая мифы, классические и современные истории, традиционные рассказы и поэзию.Если вы ищете привлечение ресурсов, чтобы помочь ученикам практиковать стратегии понимания и типы вопросов, такие как Skim и Scan, True или False, найти и копировать, заполнить разрыв, секвенирование и множественный выбор, понимание ниндзя для возраста 10-11: художественная литература и поэзия-это книга для вас.Для получения дополнительных обязательных книг ниндзя, ознакомьтесь с словарным запасом ниндзя и понимания классной комнаты ниндзя и домашних учебных ресурсов.Обратите внимание, что версия электронной книги PDF этой книги не может быть напечатана или сохранена в любом другом формате.Он предназначен для использования только на интерактивных досках и проекторах."
Справочник по вторичному одаренному образованию,"Фелиция А. Диксон, Сидни М. Мун",Образование,"Второе издание этого новаторского учебника предназначено для того, чтобы помочь специалистам в области образования, заинтересованных в создании эффективных и комплексных образовательных возможностей для одаренных средних студентов.Справочник по вторичному одаренному образованию предлагает углубленный, основанный на исследованиях, основанные на исследованиях, которые школы и классные комнаты могут поддерживать развитие одаренных подростков.Книга является наиболее полным критическим ресурсом по этой теме.Каждая глава этого образовательного ресурса написана ведущими учеными и исследователями в этой области.Второе издание включает в себя разделы о STEM, выравнивании CCSS и навыках 21-го века, а также обсуждение работы с учащимися в различных областях контента.Цель книги-предоставить справочник, основанный на исследованиях, в котором рассматриваются одаренных подростков и их потребности в качестве отправной точки для создания эффективной интегрированной образовательной программы."
Духовное чтение,Анжела Лу Харви,Религия,"Чтение Писания - это духовная практика в самом сердце христианской веры.Но как можно встретить Бога в чтении слов Библии?Требуется ли чтению христианской Библии, отличным от того, как можно читать другие тексты или писания?Что требуется от духовного читателя, чтобы хорошо читать?Стремясь ответить на такие вопросы, Анжела Лу Харви обеспечивает богословское исследование идеи «духовного чтения» в контексте Западной Церкви сегодня.Опираясь на понимание таких теологов, как Карл Барт, Анри де Любак и Эллен Ф. Дэвис, автор предполагает, что подробности христианской веры глубоко формируют отличительную практику духовного чтения Библии."
Элси на мировой ярмарке,Марта Финли,Несовершеннолетняя фантастика,"«Элси на мировой ярмарке» Марты Финли следует за приключениями Элси Динсмор, когда она проводит чудеса Чикагской мировой ярмарки 1893 года.Книга характеризуется его привлекательным рассказыванием историй, яркими описаниями ярмарки и моральными уроками, передаваемыми через опыт Элси.Эта работа попадает в жанр исторической фантастики с акцентом на семейные отношения и моральные ценности, что делает ее неотразимым чтением как для молодых, так и для взрослых аудиторий.Элегантная проза Финли отражает суть шумной ярмарки и эмоционального путешествия ее персонажей, предоставляя читателям нюансированное изображение периода времени и социальных норм.Читатели окажутся в переносной эпохе, где история о совершеннолетии разворачивается на фоне грандиозной экспозиции, которая очаровала мир.Основы Марты Финли в качестве учителя и автора популярной серии «Элси Динсмор», вероятно, повлияли на ее решение установить этот роман на мировой ярмарке, демонстрируя свой талант к смешиванию исторических событий с соответствующими персонажами и моральными дилеммами.Поклонники исторической фантастики и те, кто интересуется мировой ярмаркой, несомненно, понравится этот восхитительный и заставляющий задуматься роман."
Читая их мир,"Вирджиния Р. Монсо, Гэри М. Сальвнер",Образование,"Читая их мир, 2/E и его компаньон CD-ROM обеспечивают наиболее обширное исследование литературы для молодых взрослых, доступных сегодня."
Примечательные женщины Китая,Барбара Беннетт Петерсон,Политология,"Совместные усилия почти 100 китайских ученых со всего мира, эта уникальная ссылка на один объем дает 89 углубленных биографий важных китайских женщин с пятого века до нашей эры до начала двадцатого века."
Школа свободы,"Энтони О'Хир, Марк Сидвелл",Образование,"Либеральное образование - это не теория.Это традиция, по которой западная цивилизация сохранила и обогатила свое наследство в течение двух с половиной тысяч лет.Тем не менее, либеральное образование - это термин, который упал от использования в Британии, его традиционное значение теперь свободно запуталось с его противоположностью.Эта книга предназначена для исправления этого неправильного понимания посредством представления первоначального исходного материала из высоких точек либерального образования с особым вниманием к британскому опыту.Раздел 1: Происхождение (с. 450 г. до н.э. к стр. 450 г. н.э.) Раздел 2: Британская традиция (с. 750 по 1950) Раздел 3: После традиции (1950 г.) Раздел 4: Либеральное образование Redux (Америка)"
Природа написание,Дон Шиз,Литературная критика,"Впервые опубликовано в 2003 году. Routledge - это отпечаток Taylor & Francis, компании Informa."
Обряды согласия,Сакван Беркович,Литературная критика,"Обряды согласия рассматривают культурные стратегии, с помощью которых «Америка» служила транспортным средством одновременно для разнообразия и сплоченности, слияния и фрагментации.Принимая этнографический, межкультурный подход, обряды согласия прослеживают значения и цели «Америки» обратно в колониальную типологию миссии и, в частности, (в главах пуританской риторики, хлопковой маниры, Джонатана Эдвардса и перемещения от возрождения к революции) к лекантности ранней Новой Англии."
История британской анимации,Джез Стюарт,Исполнительское искусство,"Смертельный и звуковой книга года Джез Стюарт составляет ход этой необычайно плодородной области британского фильма от ранних экспериментов с остановкой и процветанием анимированных рисунков во время Первой мировой войны.Он показывает, как более каменный межвоенный период установил форму индустрии, и как креативщики, такие как Лен Лай и Лотте Рейнигер, привлекли искусство в рекламные и спонсируемые фильмы, создав основу для таких отличительных талантов, как Боб Годфри, Элисон де Вере и Джордж Даннинг, чтобы разобрать свои независимые видения в эпоху коммерческого телевидения.Стюарт подчеркивает неотъемлемую роль женщин в отрасли, решающее повышение, обеспечиваемое прибытием 4 -го канала, появлением онлайн -анимации и многого другого.В книге представлены анализы ключевых аниматоров, таких как Lancelot Speed ​​и Richard Williams, а также более тематические восприятия искусства, политики и музыки.Он создает основу для лучшего оценки британских знаковых вкладов в искусство анимации, включая Halas и Batchelor's Animal Farm (1954), «Желтая подводная лодка» (1968) и создания анимации Аардмана."
